depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
128,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.063525
128,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.016351
128,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.048967
128,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.058754
128,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.039676
128,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.066677
128,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.064914
128,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.057932
128,seed_202,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.035228
128,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.081135
128,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.067087
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.010971
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.057892
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.047271
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.067664
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.091571
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.079733
128,seed_303,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.097777
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.09163
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.039039
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.110801
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.140605
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.169285
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.160392
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.072593
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.058758
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.039147
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.067102
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.138653
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.118242
128,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.068764
128,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.046879
128,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.062276
128,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.080645
128,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.068927
128,seed_303,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.074972
128,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.106137
128,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.149395
128,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.136047
128,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.031742
128,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.100216
128,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.079208
128,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.083819
128,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.060118
128,seed_303,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.024086
128,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.071902
128,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.108115
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.113609
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.128654
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.117029
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.105214
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.145941
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.130618
128,seed_404,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.065839
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.091415
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.07134
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.072956
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.083489
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.100187
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.106996
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.033536
