depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
128,seed_202,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00002276
128,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00002382
128,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
128,seed_202,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00002276
128,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00000106
128,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00002276
128,seed_202,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
128,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00002382
128,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00000106
128,seed_202,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00002276
128,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00002452
128,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00054331
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00164839
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00162182
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00153688
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00164839
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00162182
128,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00153688
128,seed_303,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00056783
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00162387
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00159730
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00151236
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00162387
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00159730
128,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00151236
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00219170
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00216513
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00208019
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00219170
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00216513
128,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00208019
128,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00002657
128,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00011150
128,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
128,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00002657
128,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00011150
128,seed_303,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00008493
128,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00002657
128,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
128,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00008493
128,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00011150
128,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00008493
128,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
128,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00002657
128,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00011150
128,seed_303,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00008493
128,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00070168
128,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00085799
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00031419
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00021892
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00033043
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00031419
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00021892
128,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00033043
128,seed_404,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00155967
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00101586
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00092060
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00103211
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00101586
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00092060
128,seed_404,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00103211
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00054380
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00063907
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00052756
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00054380
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00063907
128,seed_404,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00052756
128,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00009527
128,seed_404,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00001625
128,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
128,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00009527
128,seed_404,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00001625
128,seed_404,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00011151
128,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00009527
128,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
128,seed_404,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00011151
128,seed_404,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00001625
128,seed_404,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00011151
128,seed_404,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
128,seed_404,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00009527
128,seed_404,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00001625
128,seed_404,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00011151
128,seed_505,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00162489
128,seed_505,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00067179
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00165526
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00174380
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00161964
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00165526
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00174380
128,seed_505,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00161964
128,seed_505,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00229669
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00003037
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00011891
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00000526
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00003037
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00011891
128,seed_505,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00000526
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00232705
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00241559
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00229143
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00232705
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00241559
128,seed_505,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00229143
128,seed_505,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00008854
128,seed_505,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00003563
128,seed_505,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
128,seed_505,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00008854
128,seed_505,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00003563
128,seed_505,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00012417
128,seed_505,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00008854
128,seed_505,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.00000000
128,seed_505,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.00012417
128,seed_505,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.00003563
128,seed_505,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.00012417
128,seed_505,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.00000000
128,seed_505,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.00008854
128,seed_505,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.00003563
128,seed_505,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.00012417
256,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00006637
256,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00050408
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00118695
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00121495
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00111619
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00118695
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00121495
256,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00111619
256,seed_101,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00057046
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00125333
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00128133
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00118257
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00125333
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00128133
256,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00118257
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00068287
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00071087
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00061211
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00068287
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00071087
256,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00061211
256,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00002800
256,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00007076
256,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
256,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00002800
