depth,seed_id,history_id,replicate_id,poincare_u,poincare_v,pfm_head_digest,current_zone,strain_frobenius,governor_anti_lock
128,seed_404,H_GAMMA,0,0.14095799,0.00000000,9d1833dafe18c27b24161f990476d91a0a753485d8a139e81cce323304c706b7,0,3.052078,99.40
128,seed_404,H_GAMMA,1,0.14100468,0.00000000,5d3aa8d6dd15f412cbcbce13d5f9fe6d50577fef8358a5589d75a91ee460f936,0,3.160722,99.40
128,seed_404,H_GAMMA,2,0.14095003,0.00000000,19df9899dd0876c660920c864947feac50b7aa8f944cbcd693233c7c8685f48c,0,3.016552,99.40
128,seed_505,H_ALPHA,0,0.14178956,0.00000000,6d522dddc1ff3dec7098443bb250253f8bfd425bd0bbc79ea5f0407f333e7bc0,0,2.716679,99.40
128,seed_505,H_ALPHA,1,0.14099335,0.00000000,c22c9e82f10193f26c1016935b883b948781496fb532bce6a6fac1706d52b637,0,2.633791,99.40
128,seed_505,H_ALPHA,2,0.14211868,0.00000000,3e7371d0da83407a49807129773cb22b1bca2b3340f490d84227923844c331de,0,2.753857,99.40
128,seed_505,H_BETA,0,0.14097847,0.00000000,6f065a12c8971429b15b52f6cb68042b08f4b6e9949023146c4559a6919f92c8,0,2.825210,99.40
128,seed_505,H_BETA,1,0.14093508,0.00000000,debb58ae0e255981bdbcc9d70d2f3cceb8f403dd63d388ee8a4e79dc597db2fb,0,2.700043,99.40
128,seed_505,H_BETA,2,0.14099593,0.00000000,8e9be687356aaf849a6862d1ea6bf1e6490465921721d19f5180d269d058e346,0,2.835765,99.40
128,seed_505,H_GAMMA,0,0.14097847,0.00000000,f2747a61c908782c73ab13882ecb7eca2e671ecf0a0c75662a720d3f3f9bb8a9,0,3.089493,99.40
128,seed_505,H_GAMMA,1,0.14093508,0.00000000,9c6c641e9fdaa9b040c6e4c8cf5abc696be86fbdfdc2a4ec5bc1c4abcf02f63b,0,2.980103,99.40
128,seed_505,H_GAMMA,2,0.14099593,0.00000000,2178dc6fec98ed4898497ffc74e23fab4fa289aa6d626aca7d1ce72ba75d81c5,0,3.135487,99.40
256,seed_101,H_ALPHA,0,0.14172328,0.00000000,28e47a8354c1211a0add1bd949f8760c16858316d2bde08f92382cba27362fbd,0,3.315943,99.40
256,seed_101,H_ALPHA,1,0.14175580,0.00000000,6b820c598ce084695c163a7e76ca6332809b80fadfa34cf8d2c18d46b6831e7a,0,3.281552,99.40
256,seed_101,H_ALPHA,2,0.14147629,0.00000000,3b91baa9b96eca3070925754a121d076c2c68172db6374e251b2b2712f43d82f,0,3.387178,99.40
256,seed_101,H_BETA,0,0.14114167,0.00000000,820bb35c1da6f1085ccaef9ebc1568a9c3ec5e18764830d4fcbd6cc21efefd7c,0,3.536244,99.40
256,seed_101,H_BETA,1,0.14112795,0.00000000,b0be7aed05874acbe6b00e3ee5b2e81830206f203ec78fd78776fb1d81da90de,0,3.487773,99.40
