| Depth D | Condition | Mean D | SD | Range | CV | Entropy range |
|---|---|---|---|---|---|---|
| 0.075 | 0.25 | 512 | 0.0005 | 0.0002 | 44.8% |
| 0.075 | 0.4 | 128 | 0.0007 | 0.0003 | 43.4% |
| 0.075 | 0.4 | 256 | 0.0006 | 0.0003 | 48.3% |
| 0.075 | 0.4 | 384 | 0.0007 | 0.0004 | 64.1% |
| 0.075 | 0.4 | 432 | 0.0006 | 0.0003 | 54.3% |
| 0.075 | 0.4 | 480 | 0.0007 | 0.0004 | 62.1% |
| 0.075 | 0.4 | 512 | 0.0006 | 0.0004 | 57.2% |
| 0.1 | 0.1 | 128 | 0.0014 | 0.0007 | 51.6% |
| 0.1 | 0.1 | 256 | 0.0010 | 0.0005 | 49.9% |
| 0.1 | 0.1 | 384 | 0.0007 | 0.0006 | 82.5% |
| 0.1 | 0.1 | 432 | 0.0009 | 0.0006 | 72.6% |
| 0.1 | 0.1 | 480 | 0.0009 | 0.0005 | 57.8% |
| 0.1 | 0.1 | 512 | 0.0008 | 0.0005 | 67.1% |
| 0.1 | 0.25 | 128 | 0.0009 | 0.0005 | 52.7% |
| 0.1 | 0.25 | 256 | 0.0006 | 0.0003 | 51.3% |
| 0.1 | 0.25 | 384 | 0.0005 | 0.0004 | 80.0% |
| 0.1 | 0.25 | 432 | 0.0006 | 0.0004 | 67.8% |
| 0.1 | 0.25 | 480 | 0.0006 | 0.0003 | 58.9% |
| 0.1 | 0.25 | 512 | 0.0005 | 0.0003 | 69.6% |
| 0.1 | 0.4 | 128 | 0.0006 | 0.0003 | 53.9% |
| 0.1 | 0.4 | 256 | 0.0005 | 0.0002 | 43.4% |
| 0.1 | 0.4 | 384 | 0.0006 | 0.0003 | 43.6% |
| 0.1 | 0.4 | 432 | 0.0007 | 0.0003 | 43.9% |
| 0.1 | 0.4 | 480 | 0.0007 | 0.0003 | 46.7% |
| 0.1 | 0.4 | 512 | 0.0004 | 0.0002 | 45.1% |
